n_levels,proportion,grid_width_pct,tp_pct,stop_loss_pct,total_return_pct,max_drawdown_pct,total_cycles,win_rate,profit_factor,liquidations,forced_closes_at_end
20,1.0,20.0,5.0,15.0,117.61,43.95,179,88.8,1.21,0,1
10,2.5,25.0,5.0,10.0,117.57,41.73,183,84.7,1.45,0,1
15,2.5,37.5,5.0,10.0,117.57,41.73,183,84.7,1.45,0,1
15,1.5,22.5,5.0,15.0,89.26,36.95,152,86.8,1.27,0,1
15,2.5,37.5,5.0,20.0,74.68,44.02,126,92.9,1.35,0,1
10,2.5,25.0,2.0,15.0,40.39,42.03,367,95.1,1.22,0,1
15,2.5,37.5,2.0,15.0,40.39,42.03,367,95.1,1.22,0,1
10,2.5,25.0,5.0,5.0,37.15,27.36,291,63.2,1.15,0,1
15,2.5,37.5,5.0,5.0,37.15,27.36,291,63.2,1.15,0,1
10,2.5,25.0,2.0,30.0,36.79,46.8,290,97.6,1.23,0,1
10,2.5,25.0,3.0,10.0,31.17,30.13,296,88.9,1.13,0,1
15,2.5,37.5,3.0,10.0,31.17,30.13,296,88.9,1.13,0,1
10,2.5,25.0,3.0,15.0,30.5,43.5,249,92.8,1.14,0,1
15,2.5,37.5,3.0,15.0,30.5,43.5,249,92.8,1.14,0,1
20,1.0,20.0,5.0,30.0,29.51,61.09,110,90.9,1.1,0,1
20,1.0,20.0,2.0,10.0,23.98,40.98,613,92.3,1.07,0,1
20,1.0,20.0,2.0,30.0,19.63,66.29,285,97.2,1.12,0,1
10,1.5,15.0,3.0,20.0,12.47,52.05,210,93.3,1.06,0,1
10,1.5,15.0,2.0,20.0,8.68,50.71,293,96.2,1.06,0,1
20,1.0,20.0,3.0,20.0,8.3,48.33,258,92.6,1.04,0,1
10,2.5,25.0,3.0,30.0,4.24,45.61,173,96.5,1.04,0,1
10,2.5,25.0,2.0,20.0,3.59,53.82,327,96.0,1.04,0,1
15,2.5,37.5,3.0,30.0,1.86,48.98,172,95.9,1.02,0,1
10,2.5,25.0,5.0,15.0,0.71,44.77,151,85.4,1.01,0,1
15,2.5,37.5,5.0,15.0,0.71,44.77,151,85.4,1.01,0,1
15,1.5,22.5,3.0,20.0,-0.44,55.09,223,92.8,1.01,0,1
15,1.5,22.5,2.0,20.0,-11.29,55.34,325,95.7,0.98,0,1
10,1.5,15.0,5.0,15.0,-14.19,50.01,151,84.1,0.97,0,1
20,1.0,20.0,5.0,5.0,-14.99,65.93,346,61.8,0.99,0,1
10,1.5,15.0,5.0,5.0,-17.11,41.22,329,59.9,0.97,0,0
15,1.5,22.5,5.0,5.0,-17.11,41.22,329,59.9,0.97,0,0
10,1.5,15.0,3.0,30.0,-17.26,59.71,144,94.4,0.93,0,1
15,2.5,37.5,2.0,30.0,-17.65,51.24,248,97.2,0.92,0,1
10,1.5,15.0,5.0,10.0,-18.02,50.57,205,77.1,0.97,0,1
15,1.5,22.5,3.0,30.0,-20.2,62.33,144,94.4,0.92,0,1
10,1.5,15.0,2.0,15.0,-24.75,51.58,434,93.5,0.94,0,1
15,1.5,22.5,2.0,15.0,-24.75,51.58,434,93.5,0.94,0,1
10,1.5,15.0,3.0,10.0,-25.88,38.26,317,85.5,0.95,0,1
10,1.5,15.0,3.0,5.0,-27.8,47.12,521,72.2,0.96,0,1
15,1.5,22.5,3.0,5.0,-27.8,47.12,521,72.2,0.96,0,1
15,1.5,22.5,3.0,10.0,-27.85,38.3,313,85.3,0.94,0,1
10,2.5,25.0,5.0,30.0,-29.05,68.05,91,91.2,0.86,0,1
15,2.5,37.5,5.0,30.0,-29.05,68.05,91,91.2,0.86,0,1
15,1.5,22.5,5.0,30.0,-32.35,67.73,76,89.5,0.84,0,1
10,2.5,25.0,3.0,5.0,-33.15,46.02,434,71.4,0.91,0,1
15,2.5,37.5,3.0,5.0,-33.15,46.02,434,71.4,0.91,0,1
10,2.5,25.0,5.0,20.0,-33.23,66.49,131,87.8,0.88,0,1
10,1.5,15.0,5.0,20.0,-33.39,68.02,117,83.8,0.84,0,1
15,1.5,22.5,5.0,20.0,-33.39,68.02,117,83.8,0.84,0,1
10,1.5,15.0,5.0,30.0,-33.75,67.38,90,88.9,0.86,0,1
15,2.5,37.5,2.0,20.0,-34.58,51.95,303,95.4,0.85,0,1
20,1.0,20.0,3.0,5.0,-34.59,55.82,607,71.7,0.96,0,1
20,1.0,20.0,3.0,10.0,-34.77,66.13,364,84.6,0.94,0,1
10,2.5,25.0,2.0,5.0,-38.56,43.68,578,78.9,0.89,0,0
15,2.5,37.5,2.0,5.0,-38.56,43.68,578,78.9,0.89,0,0
10,1.5,15.0,2.0,10.0,-44.62,57.66,554,90.6,0.91,0,1
15,1.5,22.5,2.0,10.0,-46.24,58.51,546,90.5,0.91,0,1
15,1.5,22.5,5.0,10.0,-48.6,71.41,171,72.5,0.85,0,1
10,1.5,15.0,2.0,5.0,-49.66,65.15,739,80.4,0.91,0,0
15,1.5,22.5,2.0,5.0,-49.66,65.15,739,80.4,0.91,0,0
20,1.0,20.0,3.0,30.0,-51.64,83.69,137,93.4,0.82,0,0
10,2.5,25.0,2.0,10.0,-53.91,56.47,375,89.3,0.79,0,0
15,2.5,37.5,2.0,10.0,-53.91,56.47,375,89.3,0.79,0,0
20,1.0,20.0,2.0,20.0,-54.25,70.75,309,94.2,0.82,0,0
20,1.0,20.0,3.0,15.0,-55.39,67.67,236,86.9,0.82,0,0
20,1.0,20.0,5.0,10.0,-56.21,71.79,196,72.4,0.85,0,0
20,1.0,20.0,5.0,20.0,-56.51,65.43,104,81.7,0.77,0,0
10,2.5,25.0,3.0,20.0,-57.06,73.01,169,91.7,0.75,0,0
20,1.0,20.0,2.0,5.0,-58.25,66.24,809,80.5,0.91,0,0
15,2.5,37.5,3.0,20.0,-58.54,72.38,161,91.3,0.74,0,0
15,1.5,22.5,2.0,30.0,-63.33,74.82,180,95.6,0.68,0,0
10,1.5,15.0,2.0,30.0,-65.18,75.38,171,95.3,0.65,0,0
20,1.0,20.0,2.0,15.0,-75.77,77.59,251,89.6,0.69,0,0
10,1.5,15.0,3.0,15.0,-75.93,77.59,152,84.9,0.62,0,0
15,1.5,22.5,3.0,15.0,-75.93,77.59,152,84.9,0.62,0,0
15,1.5,22.5,2.0,none,-83.98,90.04,70,98.6,0.43,1,0
10,1.5,15.0,3.0,none,-84.15,89.8,35,97.1,0.4,1,0
15,1.5,22.5,3.0,none,-84.15,89.8,35,97.1,0.4,1,0
20,1.0,20.0,3.0,none,-87.14,92.61,38,97.4,0.46,1,0
10,2.5,25.0,3.0,none,-90.35,93.53,36,97.2,0.35,1,0
15,2.5,37.5,3.0,none,-90.35,93.53,36,97.2,0.35,1,0
10,1.5,15.0,2.0,none,-91.1,94.22,59,98.3,0.38,1,0
10,1.5,15.0,5.0,none,-92.87,95.77,20,95.0,0.42,1,0
20,1.0,20.0,2.0,none,-92.87,95.6,57,98.2,0.41,1,0
15,1.5,22.5,5.0,none,-92.87,95.77,20,95.0,0.42,1,0
10,2.5,25.0,5.0,none,-94.9,97.09,31,96.8,0.45,1,0
15,2.5,37.5,5.0,none,-94.9,97.09,31,96.8,0.45,1,0
10,2.5,25.0,2.0,none,-96.33,97.28,49,98.0,0.27,1,0
15,2.5,37.5,2.0,none,-96.33,97.28,49,98.0,0.27,1,0
20,1.0,20.0,5.0,none,-96.53,97.59,11,90.9,0.31,1,0
