Symbol,Interval,Total Trades,Total PNL,Percentage PNL (%),Win Rate (%),Profit Factor,Risk Ratio,Num Long Trades,Num Short Trades,Num Profitable Trades,Num Unprofitable Trades,Avg Profit,Avg Loss,Max Profit,Min Profit,Max Loss,Min Loss,Avg Long Duration (days),Avg Long Duration (hours),Avg Long Duration (minutes),Avg Long Duration (seconds),Avg Short Duration (days),Avg Short Duration (hours),Avg Short Duration (minutes),Avg Short Duration (seconds),Risk Interpretation,min_space,window_length,atr_length,stop_loss_multiplier,take_profit_multiplier
SOLUSDT,30m,756,-977681.5632,-97.76815632,51.32275132,0.620864378,1.698193459,382,374,388,368,4126.367009,-7007.369464,112173.5308,6.01373,-315397.6322,-7.963891,1,2,4,19,1,3,16,17,Высокие риски,19,14,nan,nan,nan
SOLUSDT,15m,1036,-918564.4757,-91.85644757,48.74517375,0.903343384,1.052795424,521,515,505,531,16999.63321,-17897.13606,417914.2588,1.444059,-1000205.463,-4.022095,0,13,3,15,0,12,35,7,Высокие риски,20,38,nan,nan,nan
SOLUSDT,5m,756,38353.48722,3.835348722,50.3968254,1.008542235,1.007394599,376,380,381,375,11885.08956,-11972.97503,127820.8121,29.45775,-149365.7765,-11.540832,0,4,2,37,0,4,17,14,Высокие риски,15,14,nan,nan,nan
SOLUSDT,5m,2779,-563332.9622,-56.33329622,51.09751709,0.943267182,1.107730625,1371,1408,1420,1359,6595.94752,-7306.533069,74474.55106,7.7837675,-63483.23108,-6.47948,0,0,59,26,0,1,2,8,Высокие риски,15,14,24,4.547313366,2.589280923
APEUSDT,30m,594,-778600.0774,-77.86000774,46.96969697,0.833659789,1.062440935,305,289,279,315,13986.26802,-14859.58366,192107.4178,17.075507,-359955.4018,-2.526282,1,1,3,2,0,23,7,40,Высокие риски,7,42,nan,nan,nan
APEUSDT,30m,1157,1183942.519,118.3942519,60.24200519,1.058651236,1.431271546,589,568,697,460,30660.10101,-43882.93018,161986.0303,69.797512,-247741.6736,-34.5918025,0,8,41,42,0,8,57,21,Высокие риски,7,42,9,4.31997982,1.937092695
APEUSDT,15m,1192,-863308.0291,-86.33080291,45.30201342,0.877299743,0.944056881,630,562,540,652,11430.74533,-10791.27379,149170.5359,1.773765,-460467.7094,-0.5827513,0,11,37,22,0,11,15,19,Умеренные риски,10,40,nan,nan,nan
APEUSDT,15m,1850,3795643.814,379.5643814,48.32432432,1.051867214,0.889034691,988,862,894,956,86102.53295,-76548.13875,428130.8212,331.728936,-591027.5495,-70.066568,0,6,14,34,0,6,24,58,Умеренные риски,10,40,6,4.753847441,4.761768227
APEUSDT,5m,835,195530.6602,19.55306602,46.34730539,1.035141596,0.834513162,415,420,387,448,14882.71566,-12419.8221,128803.5951,31.914,-298792.4679,-1.36162195,0,3,44,54,0,3,55,1,Умеренные риски,11,98,nan,nan,nan
APEUSDT,5m,892,-208195.1296,-20.81951296,55.2690583,0.95295213,1.296590808,447,445,493,399,8553.714823,-11090.66801,41943.29959,178.2541248,-54168.80172,-3.23298945,0,2,46,5,0,2,19,30,Высокие риски,11,98,21,4.588380354,3.009748989
