symbol,return_%,win_rate,trades,avg_trade_%,sharpe,window_length,sloping_atr_length,min_space,stop_loss_multiplier,take_profit_multiplier,portion
ZECUSDT,162.75936856533136,24.832214765100673,298,0.42504309724133993,0.15802033583585773,50,14,5,0.45,1.5,
RAREUSDT,66.91374876367105,28.1786941580756,291,0.2762396424114799,1.7582395733831093,50,14,5,0.45,1.5,
ENAUSDT,45.949950494737315,22.54901960784314,306,0.2238214916813419,0.11671011034439782,50,14,5,0.45,1.5,
GMXUSDT,38.50665256634871,29.25170068027211,294,0.21095930604981827,0.8434063059436239,50,14,5,0.45,1.5,
TSTUSDT,29.74424585765763,12.087912087912088,91,0.38676534490429404,0.8618739727577155,50,14,5,0.45,1.5,
HIFIUSDT,26.719785948288095,26.95035460992908,282,0.1839968960602123,0.8420537188179332,50,14,5,0.45,1.5,
TIAUSDT,24.88426479530465,24.271844660194176,309,0.17188921597879325,0.5175139734147584,50,14,5,0.45,1.5,
RUNEUSDT,24.784744870795915,29.86111111111111,288,0.17697897630064574,1.489436063395023,50,14,5,0.45,1.5,
ROSEUSDT,21.520949508820635,28.421052631578945,285,0.1684530761347558,1.2786844264676545,50,14,5,0.45,1.5,
TRUMPUSDT,18.944579494003534,16.546762589928058,139,0.2250444886728653,1.0718859912006466,50,14,5,0.45,1.5,
MOVEUSDT,18.66186989069802,17.391304347826086,138,0.22405107698544313,1.0583104305706066,50,14,5,0.45,1.5,
WIFUSDT,18.514653609201197,27.796610169491526,295,0.15760857217752555,0.6711615582127965,50,14,5,0.45,1.5,
ARUSDT,17.522617715223667,28.125,288,0.1561131153405837,0.8782528529986874,50,14,5,0.45,1.5,
PENDLEUSDT,16.998972857413605,24.087591240875913,274,0.1573940875243096,0.2868455737843971,50,14,5,0.45,1.5,
POLUSDT,15.46962975592334,18.06167400881057,227,0.1633567565892724,0.47338088905360054,50,14,5,0.45,1.5,
PYTHUSDT,15.056431565410389,29.431438127090303,299,0.1469155722517934,1.0950008152601047,50,14,5,0.45,1.5,
RLCUSDT,13.053310911027715,28.52112676056338,284,0.14327316074969065,1.0695434805050257,50,14,5,0.45,1.5,
BATUSDT,11.493534115792043,29.06574394463668,289,0.1376632661359123,0.9755518486452894,50,14,5,0.45,1.5,
KAITOUSDT,10.03176228026608,6.666666666666667,60,0.23512501730305058,1.0549316414536887,50,14,5,0.45,1.5,
DOGSUSDT,9.577649865737046,20.816326530612244,245,0.13739389479359154,0.8290358266653384,50,14,5,0.45,1.5,
BEAMXUSDT,8.958321411977755,28.620689655172416,290,0.12959280734261558,0.5323372687053607,50,14,5,0.45,1.5,
BBUSDT,7.492158694179729,25.0,280,0.12580061902347506,0.3892328350692525,50,14,5,0.45,1.5,
AIXBTUSDT,6.690130208870023,13.559322033898304,118,0.15497445275325372,0.7058158082474937,50,14,5,0.45,1.5,
DUSKUSDT,6.4477229761532975,26.61596958174905,263,0.12378263106080922,0.5819376151678181,50,14,5,0.45,1.5,
HIVEUSDT,6.265429239869956,21.52317880794702,302,0.12003400553131094,0.15137474438091056,50,14,5,0.45,1.5,
SNXUSDT,5.909520450812951,27.956989247311824,279,0.12062545003272973,0.545523766422607,50,14,5,0.45,1.5,
NMRUSDT,5.57315295597217,28.771929824561404,285,0.11900091725924877,0.47513236470060133,50,14,5,0.45,1.5,
SCRUSDT,5.041293626397918,14.457831325301203,166,0.12950366660571255,0.2039039600640526,50,14,5,0.45,1.5,
BADGERUSDT,5.01819298124488,29.37062937062937,286,0.11714589956410837,0.48701359046448855,50,14,5,0.45,1.5,
DYMUSDT,4.47874027720883,26.24113475177305,282,0.11551853033400228,0.32446289389418176,50,14,5,0.45,1.5,
HOOKUSDT,4.05896191377046,29.67032967032967,273,0.1145834610061458,0.3746615484692647,50,14,5,0.45,1.5,
BANANAS31USDT,3.6565723319970536,10.9375,64,0.15616382174594712,0.845198004327981,50,14,5,0.45,1.5,
STXUSDT,2.804089922208502,25.36764705882353,272,0.11017677077833632,0.2563223123575322,50,14,5,0.45,1.5,
BIOUSDT,1.9876667919710977,15.59633027522936,109,0.11795500925784186,0.3411729948457801,50,14,5,0.45,1.5,
ANIMEUSDT,1.9395700968801044,14.0625,128,0.11497838573057972,0.29943118704022087,50,14,5,0.45,1.5,
LRCUSDT,1.4174637248952873,29.02097902097902,286,0.10492179577739069,0.13170228364390857,50,14,5,0.45,1.5,
JOEUSDT,1.3740220483504004,28.205128205128204,273,0.1049804356414219,0.1368529695685749,50,14,5,0.45,1.5,
THEUSDT,1.303346936449013,17.51412429378531,177,0.10726181022451264,0.15928768723015158,50,14,5,0.45,1.5,
VANAUSDT,0.9267949359411607,12.173913043478262,115,0.10808203669072647,0.10159729019891095,50,14,5,0.45,1.5,
YGGUSDT,0.8859070244237315,27.27272727272727,286,0.10306969625324403,0.06187266307411678,50,14,5,0.45,1.5,
LUMIAUSDT,0.7817970792509267,15.730337078651685,178,0.1043867394436182,0.07724196179896066,50,14,5,0.45,1.5,
ALPHAUSDT,0.45311612769725035,25.675675675675674,296,0.10152404479015775,0.034728345008186105,50,14,5,0.45,1.5,
