id,symbol,order_size,side,status,open_time,close_time,interval,window_size,leverage,entry_price,quantity,atr_length,take_atr,loss_atr,take_price,stop_price,result,msg_id
15,APEUSDT,9.66,false,CLOSED,1729713603412,1729713688845,1m,50,20,1.2075,8,7,1.45,2,1.2034,1.2132,0.0328,677
1,APEUSDT,9.728,true,CLOSED,1729701301602,1729701377027,1m,50,20,1.216,8,7,1.45,2,1.2236,1.2056,0.0608,649
16,WIFUSDT,9.8624,false,CLOSED,1729713661615,1729714011763,1m,50,20,2.4656,4,7,1.45,2,2.4521,2.4842,-0.0744,678
2,WIFUSDT,9.9548,false,CLOSED,1729704481704,1729704832733,1m,50,20,2.428,4.1,7,1.45,2,2.4162,2.4443,0.04141,651
3,WIFUSDT,9.94086,false,CLOSED,1729704662794,1729704969758,1m,50,20,2.4246,4.1,7,1.45,2,2.414,2.4392,0.05043,652
36,APEUSDT,9.0616,true,CLOSED,1729730341658,1729730464871,1m,50,20,1.1327,8,7,1.45,2,1.1405,1.122,0.0624,718
17,APEUSDT,9.6088,true,CLOSED,1729714741152,1729714830399,1m,50,20,1.2011,8,7,1.45,2,1.205,1.1958,0.0312,681
4,WIFUSDT,9.91585,false,CLOSED,1729705201646,1729706119876,1m,50,20,2.4185,4.1,7,1.45,2,2.4099,2.4304,0.03526,655
5,APEUSDT,9.6536,false,CLOSED,1729705261607,1729706189725,1m,50,20,1.2067,8,7,1.45,2,1.2001,1.2158,0.0528,656
31,WIFUSDT,9.79056,false,CLOSED,1729727401549,1729728315265,1m,50,20,2.5104,3.9,7,1.45,2,2.5037,2.5196,-0.03627,709
6,WIFUSDT,9.96072,true,CLOSED,1729707601088,1729707752872,1m,50,20,2.3716,4.2,7,1.45,2,2.3879,2.3492,0.06846,659
7,APEUSDT,9.624,true,CLOSED,1729707601085,1729707758565,1m,50,20,1.203,8,7,1.45,2,1.2099,1.1934,0.0552,660
18,APEUSDT,9.6512,true,CLOSED,1729715882158,1729715993978,1m,50,20,1.2064,8,7,1.45,2,1.2096,1.202,0.0256,683
8,WIFUSDT,9.81991,true,CLOSED,1729708381686,1729708580202,1m,50,20,2.3951,4.1,7,1.45,2,2.4066,2.3792,-0.06478,663
26,APEUSDT,9.3864,true,CLOSED,1729723441039,1729723564032,1m,50,20,1.1733,8,7,1.45,2,1.1776,1.1673,-0.048799999999999996,698
10,WIFUSDT,9.8605,true,CLOSED,1729709101536,1729709165409,1m,50,20,2.405,4.1,7,1.45,2,2.416,2.3898,0.0451,666
9,APEUSDT,9.5952,false,CLOSED,1729708801539,1729709253278,1m,50,20,1.1994,8,7,1.45,2,1.1925,1.2089,-0.0776,665
25,WIFUSDT,9.9928,true,CLOSED,1729723081052,1729723689234,1m,50,20,2.4982,4,7,1.45,2,2.5056,2.4879,-0.0416,697
19,APEUSDT,9.6888,true,CLOSED,1729716241751,1729716455279,1m,50,20,1.2111,8,7,1.45,2,1.2148,1.206,-0.0416,685
12,WIFUSDT,9.92487,false,CLOSED,1729710601666,1729710765157,1m,50,20,2.4207,4.1,7,1.45,2,2.4093,2.4365,0.04674,670
11,APEUSDT,9.6344,false,CLOSED,1729710361844,1729712117235,1m,50,20,1.2043,8,7,1.45,2,1.1981,1.2128,-0.0688,669
13,WIFUSDT,9.97202,true,CLOSED,1729712101160,1729712339640,1m,50,20,2.4322,4.1,7,1.45,2,2.4416,2.4193,0.03854,672
14,APEUSDT,9.6984,true,CLOSED,1729712161376,1729712343473,1m,50,20,1.2123,8,7,1.45,2,1.2175,1.2052,0.0416,674
32,APEUSDT,9.016,false,CLOSED,1729728241980,1729728637941,1m,50,20,1.127,8,7,1.45,2,1.1202,1.1363,-0.0752,710
27,APEUSDT,9.1104,true,CLOSED,1729725301516,1729725558742,1m,50,20,1.1388,8,7,1.45,2,1.1455,1.1295,-0.0736,701
20,APEUSDT,9.6456,false,CLOSED,1729716481758,1729717178434,1m,50,20,1.2057,8,7,1.45,2,1.2013,1.2118,0.0352,687
21,WIFUSDT,9.88806,false,CLOSED,1729716661011,1729717395278,1m,50,20,2.5354,3.9,7,1.45,2,2.5223,2.5535,0.05109,688
