Symbol,Total Trades,Win Rate,Return [%],Total Profit [%],Total Loss [%],Final Return [%]
BNBUSDT,35,40.0,1.4887622032430954,0,0,0
BTCUSDT,21,28.57142857142857,-2.2754405016566976,0,0,0
ETHUSDT,24,25.0,-2.934981434975774,0,0,0
CAKEUSDT,35,40.0,4.620165956591291,0,0,0
SCUSDT,33,33.33333333333333,0.642893441408337,0,0,0
PROMUSDT,28,32.142857142857146,-0.03655072648059577,0,0,0
SUSDT,23,34.78260869565217,1.2496228325704928,0,0,0
TNSRUSDT,45,22.22222222222222,-6.521693684538373,0,0,0
VANAUSDT,44,25.0,-7.028771032869898,0,0,0
TSTUSDT,22,31.818181818181817,1.3992429815822514,0,0,0
1000CHEEMSUSDT,40,30.0,2.3879815025691755,0,0,0
CETUSUSDT,29,34.48275862068966,1.7371546988376882,0,0,0
MEMEUSDT,34,38.23529411764706,4.342063900873821,0,0,0
KNCUSDT,38,31.57894736842105,-1.0376252223622986,0,0,0
ZECUSDT,38,39.473684210526315,3.158891683635977,0,0,0
IOTAUSDT,33,36.36363636363637,4.858991168966284,0,0,0
TURBOUSDT,29,31.03448275862069,-1.252065322750283,0,0,0
SXPUSDT,41,39.02439024390244,3.837863521030592,0,0,0
BIOUSDT,39,33.33333333333333,2.0416814562757963,0,0,0
NOTUSDT,29,13.793103448275861,-12.703072052159195,0,0,0
CRVUSDT,39,41.02564102564102,10.996462113959947,0,0,0
CGPTUSDT,35,37.142857142857146,3.8056791137014865,0,0,0
IOTXUSDT,35,28.57142857142857,-3.6759894858484974,0,0,0
ORCAUSDT,36,33.33333333333333,2.3772448547219738,0,0,0
DUSDT,39,17.94871794871795,-10.618533463000134,0,0,0
WLDUSDT,31,25.806451612903224,-2.5980226629701795,0,0,0
UMAUSDT,39,17.94871794871795,-10.343687860714214,0,0,0
SYSUSDT,31,35.483870967741936,1.725061878005555,0,0,0
LISTAUSDT,34,38.23529411764706,3.545137302532978,0,0,0
EIGENUSDT,28,25.0,-1.5068236762625398,0,0,0
ZRXUSDT,41,29.268292682926827,-1.965168659920222,0,0,0
LINAUSDT,32,37.5,1.9231078057079576,0,0,0
SOLVUSDT,36,30.555555555555557,-0.9488087459738017,0,0,0
MEUSDT,31,35.483870967741936,2.670571548277757,0,0,0
DEGOUSDT,37,27.027027027027028,-3.488761973377911,0,0,0
LRCUSDT,41,29.268292682926827,-2.143647197905439,0,0,0
MOVRUSDT,37,32.432432432432435,1.563038287502376,0,0,0
DIAUSDT,38,31.57894736842105,-1.1363066752867423,0,0,0
