Symbol,Timeframe,Start Date,End Date,Stop_loss_multiplier,Take_profit_multiplier,Total Trades,Win Rate,Return [%],Long Trades,Short Trades,Long Return [%],Short Return [%],Long Win Rate [%],Short Win Rate [%]
BNBUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,12,50.0,6.630486376146785,4,8,-0.011615438164459868,0.08968116364423473,25.0,62.5
CAKEUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,15,40.0,9.215555866352934,1,14,-0.019811019935189855,0.13050279167448542,0.0,42.857142857142854
SUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,14,28.57142857142857,1.9886716420765616,3,11,-0.04655198215020484,0.10875913055563857,0.0,36.36363636363637
TNSRUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,15,46.666666666666664,11.761988110594102,4,11,-0.001550139157848518,0.37491058045920067,25.0,54.54545454545454
VANAUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,15,40.0,26.046263163641793,5,10,-0.049334844322786675,0.25855320148310257,20.0,50.0
TSTUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,15,46.666666666666664,26.26861952468839,0,15,0.0,0.3433293051115205,0.0,46.666666666666664
CETUSUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,18,33.33333333333333,6.864836512101791,5,13,-0.06671213666845555,0.2662312498482624,0.0,46.15384615384615
MEMEUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,21,42.857142857142854,36.41621829150854,0,21,0.0,0.33629393908527727,0.0,42.857142857142854
KNCUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,23,39.130434782608695,9.479357839464885,7,16,-0.032688298320228903,0.18460515968403057,14.285714285714285,50.0
ZECUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,20,50.0,12.755941875471361,5,15,0.03174172889263538,0.22049487278659674,40.0,53.333333333333336
IOTAUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,21,33.33333333333333,5.0385361573504515,4,17,-0.03566791296066929,0.14199213378838682,25.0,35.294117647058826
TURBOUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,21,47.61904761904761,26.90318532913064,0,21,0.0,0.39506479065680233,0.0,47.61904761904761
SXPUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,20,40.0,9.103154538222821,4,16,-0.03206286795931923,0.18091900049263498,0.0,50.0
BIOUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,24,29.166666666666668,2.074107906356885,0,24,0.0,0.04283645877337616,0.0,29.166666666666668
CGPTUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,26,30.76923076923077,7.515343456904916,1,25,0.030549325109737513,0.06918745801639681,100.0,28.000000000000004
IOTXUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,15,40.0,14.499682810744597,4,11,-0.017051008112133115,0.19018692216191557,25.0,45.45454545454545
WLDUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,17,41.17647058823529,4.431852875431045,0,17,0.0,0.25459715016068707,0.0,41.17647058823529
UMAUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,17,58.82352941176471,18.63598347399498,1,16,-0.014958933750325198,0.349378184229741,0.0,62.5
SYSUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,17,47.05882352941176,9.885197765406454,0,17,0.0,0.20826523499920158,0.0,47.05882352941176
LISTAUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,16,31.25,7.632571668321127,0,16,0.0,0.07494967971632827,0.0,31.25
EIGENUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,22,27.27272727272727,9.684973855810286,0,22,0.0,0.061908392991658956,0.0,27.27272727272727
ZRXUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,22,36.36363636363637,7.6573217862758085,2,20,-0.030500612222009726,0.14333423116791832,0.0,40.0
LINAUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,18,44.44444444444444,32.453309508395876,0,18,0.0,0.4546119982269309,0.0,44.44444444444444
MEUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,17,41.17647058823529,11.583059822052041,5,12,0.08428918377757078,0.05028485584436382,60.0,33.33333333333333
LRCUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,19,52.63157894736842,15.028425742203602,1,18,0.022855343895348934,0.255273085878882,100.0,50.0
MOVRUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,17,47.05882352941176,18.096269036436382,2,15,-0.0224451863618238,0.24293222231379197,0.0,53.333333333333336
SSVUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,21,47.61904761904761,36.453566527472105,1,20,-0.011714210801326952,0.4161005003295992,0.0,50.0
NEIROUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,15,26.666666666666668,5.1307620600720165,0,15,0.0,0.06515071299958508,0.0,26.666666666666668
ACEUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,14,50.0,22.998503102019548,1,13,-0.015579348550294969,0.31312977366854633,0.0,53.84615384615385
PEOPLEUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,19,31.57894736842105,10.636699876512587,4,15,-0.06620802544323079,0.20236046918969697,0.0,40.0
CHRUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,24,33.33333333333333,13.001570130276981,3,21,-0.03556280160205627,0.15149186412245985,0.0,38.095238095238095
