#,symbol,status,interval,order_size,leverage,atr_length,portion,take1,take2,stop
1,BCHUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
2,XRPUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
3,LTCUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
4,TRXUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
5,ETCUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
6,LINKUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
7,ADAUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
8,DASHUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
9,ZECUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
10,XTZUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
11,ATOMUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
12,BATUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
13,VETUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
14,NEOUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
15,QTUMUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
16,IOSTUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
17,ALGOUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
18,ZILUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
19,ZRXUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
20,COMPUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
21,DOGEUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
22,SXPUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
23,KAVAUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
24,BANDUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
25,RLCUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
26,MKRUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
27,SNXUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
28,DOTUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
29,YFIUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
30,CRVUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
31,TRBUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
32,RUNEUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
33,SUSHIUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
34,EGLDUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
35,SOLUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
36,ICXUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
37,STORJUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
38,UNIUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
39,AVAXUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
40,ENJUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
41,KSMUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
42,AAVEUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
43,FILUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
44,RSRUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
45,LRCUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
46,BELUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
47,AXSUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
48,ZENUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
49,SKLUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
50,GRTUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
51,BNTUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
52,CHZUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
53,ANKRUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
54,RVNUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
55,SFPUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
56,COTIUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
