#,symbol,status,interval,order_size,leverage,atr_length,portion,take1,take2,stop
1,JASMYUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
2,LDOUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
3,SEIUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
4,ORDIUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
5,FXSUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
6,WOOUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
7,KNCUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
8,THETAUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
9,FLMUSDT,1,4h,10,20,14,0.9,2.5,5,0.45
10,IOTAUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
11,LOKAUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
12,THEUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
13,VOXELUSDT,1,4h,10,20,14,0.9,1.25,5,0.45
14,SAGAUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
15,WIFUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
16,FIOUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
17,1000SATSUSDT,1,4h,10,20,14,0.9,1.25,5,0.45
18,BOMEUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
19,TURBOUSDT,1,4h,10,20,14,0.9,2.5,5,0.45
20,OMNIUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
21,1000CATUSDT,1,4h,10,20,14,0.9,2.5,5,0.45
22,AEVOUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
23,PORTALUSDT,1,4h,10,20,14,0.9,2.5,5,0.45
24,MBOXUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
25,PERPUSDT,1,4h,10,20,14,0.9,2.5,5,0.45
26,SYNUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
27,MAGICUSDT,1,4h,10,20,14,0.9,2.5,5,0.45
28,PENGUUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
29,BROCCOLI714USDT,1,4h,10,20,14,0.05,2.25,5,0.45
30,GPSUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
31,DUSKUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
32,SSVUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
33,SUPERUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
34,RUNEUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
35,SUSHIUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
36,EGLDUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
37,SOLUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
38,ICXUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
39,STORJUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
40,UNIUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
41,AVAXUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
42,ENJUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
43,KSMUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
44,AAVEUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
45,FILUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
46,RSRUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
47,LRCUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
48,BELUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
49,AXSUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
50,ZENUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
51,SKLUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
52,GRTUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
53,BNTUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
54,1INCHUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
55,CHZUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
56,SANDUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
57,ANKRUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
58,RVNUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
59,SFPUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
60,COTIUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
61,CHRUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
62,MANAUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
63,ALICEUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
64,HBARUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
65,ONEUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
66,DENTUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
67,CELRUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
68,HOTUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
69,MTLUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
70,OGNUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
71,NKNUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
72,BAKEUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
73,GTCUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
74,MASKUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
75,IOTXUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
76,C98USDT,0,4h,10,20,14,0.05,2.5,5,0.45
77,ATAUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
78,DYDXUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
