#,symbol,status,interval,order_size,leverage,atr_length,portion,take1,take2,stop
1,1INCHUSDT,1,4h,10,20,14,0.05,1.25,3.5,0.45
2,SANDUSDT,1,4h,10,20,14,0.25,1.25,4.5,0.75
3,XLMUSDT,1,4h,10,20,14,0.05,1.5,3,0.45
4,ONTUSDT,1,4h,10,20,14,0.9,1.25,2.5,0.45
5,PERPUSDT,1,4h,10,20,14,0.9,2.5,5,0.45
6,DUSDT,1,4h,10,20,14,0.25,1.25,4.5,0.75
7,BIOUSDT,1,4h,10,20,14,0.05,1.25,4,0.45
8,SYNUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
9,MAGICUSDT,1,4h,10,20,14,0.9,2.5,5,0.45
10,PENGUUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
11,BROCCOLI714USDT,1,4h,10,20,14,0.05,2.25,5,0.45
12,GPSUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
13,DUSKUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
14,LOKAUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
15,SUPERUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
16,THEUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
17,VOXELUSDT,1,4h,10,20,14,0.9,1.25,5,0.45
18,SAGAUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
19,WIFUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
20,FIOUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
21,1000SATSUSDT,1,4h,10,20,14,0.9,1.25,5,0.45
22,BOMEUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
23,TURBOUSDT,1,4h,10,20,14,0.9,2.5,5,0.45
24,OMNIUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
25,1000CATUSDT,1,4h,10,20,14,0.9,2.5,5,0.45
26,AEVOUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
27,PORTALUSDT,1,4h,10,20,14,0.9,2.5,5,0.45
28,MBOXUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
29,TAOUSDT,1,4h,10,20,14,0.25,1.25,4.5,0.75
30,ETHFIUSDT,1,4h,10,20,14,0.5,0.45,1.5,0.45
31,SSVUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
32,JASMYUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
33,LDOUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
34,SEIUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
35,ORDIUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
36,FXSUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
37,WOOUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
38,HFTUSDT,1,4h,10,20,14,0.5,0.45,1.5,0.45
39,HIFIUSDT,1,4h,10,20,14,0.25,1.25,4.5,0.75
40,CVXUSDT,1,4h,10,20,14,0.9,1.5,3,0.45
41,FLMUSDT,1,4h,10,20,14,0.9,2.5,5,0.45
42,IOTAUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
43,KNCUSDT,1,4h,10,20,14,0.05,1.25,5,0.45
44,THETAUSDT,1,4h,10,20,14,0.05,2.25,5,0.45
45,LRCUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
46,BELUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
47,AXSUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
48,ZENUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
49,SKLUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
50,GRTUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
51,BNTUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
52,CHZUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
53,ANKRUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
54,RVNUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
55,SFPUSDT,0,4h,10,20,14,0.05,2.5,5,0.45
