Symbol,Total Trades,Win Rate,Return [%],Total Profit [%],Total Loss [%],Final Return [%]
BNBUSDT,7,42.857142857142854,3.3565588975990073,0,0,0
BTCUSDT,2,50.0,2.282503426921996,0,0,0
ETHUSDT,4,25.0,1.3926865209903918,0,0,0
CAKEUSDT,6,50.0,9.184467319474765,0,0,0
SCUSDT,10,30.0,0.8335324146071099,0,0,0
PROMUSDT,17,11.76470588235294,-7.659835867632041,0,0,0
SUSDT,4,75.0,25.561656210531012,0,0,0
TNSRUSDT,8,0.0,-17.36792695742637,0,0,0
VANAUSDT,7,42.857142857142854,14.265114919222984,0,0,0
TSTUSDT,9,77.77777777777779,44.59207270897815,0,0,0
1000CHEEMSUSDT,8,12.5,-5.54329007734739,0,0,0
CETUSUSDT,7,42.857142857142854,16.789582355082036,0,0,0
MEMEUSDT,7,71.42857142857143,36.81489689927984,0,0,0
KNCUSDT,6,50.0,8.572285887396639,0,0,0
ZECUSDT,6,66.66666666666666,18.955971926232685,0,0,0
IOTAUSDT,7,28.57142857142857,0.046985700955928765,0,0,0
TURBOUSDT,8,62.5,35.82300059399577,0,0,0
SXPUSDT,12,41.66666666666667,10.965763867077861,0,0,0
BIOUSDT,6,50.0,14.671111351106175,0,0,0
NOTUSDT,12,25.0,0.8751213615444022,0,0,0
CRVUSDT,8,12.5,-5.274246455039515,0,0,0
CGPTUSDT,9,55.55555555555556,31.241336463931297,0,0,0
IOTXUSDT,4,50.0,8.92333007045174,0,0,0
ORCAUSDT,7,28.57142857142857,4.004531997544924,0,0,0
DUSDT,8,25.0,-3.714119589735381,0,0,0
WLDUSDT,6,66.66666666666666,32.368813240407405,0,0,0
UMAUSDT,8,75.0,23.640418929916223,0,0,0
SYSUSDT,9,55.55555555555556,18.015470501133148,0,0,0
LISTAUSDT,7,57.14285714285714,17.667616658719723,0,0,0
EIGENUSDT,7,71.42857142857143,40.62819626790767,0,0,0
ZRXUSDT,11,45.45454545454545,15.436533124771342,0,0,0
LINAUSDT,10,50.0,11.9077317072534,0,0,0
SOLVUSDT,14,0.0,-33.179310524617044,0,0,0
MEUSDT,8,50.0,13.56788397154226,0,0,0
DEGOUSDT,10,20.0,-2.769087060814421,0,0,0
LRCUSDT,10,60.0,18.560875750253324,0,0,0
MOVRUSDT,8,50.0,12.600960321686347,0,0,0
DIAUSDT,11,36.36363636363637,7.498876987027331,0,0,0
ARPAUSDT,8,50.0,11.786861446193653,0,0,0
LUMIAUSDT,7,28.57142857142857,1.8351667779457288,0,0,0
SSVUSDT,9,66.66666666666666,27.477232137314555,0,0,0
NEIROUSDT,4,75.0,36.91850962953801,0,0,0
ACEUSDT,7,57.14285714285714,29.944407160570613,0,0,0
PEOPLEUSDT,12,50.0,43.36812439293964,0,0,0
CHRUSDT,9,44.44444444444444,11.909194058356015,0,0,0
ARKUSDT,9,44.44444444444444,10.24246802286692,0,0,0
METISUSDT,11,54.54545454545454,17.681137344268848,0,0,0
DYMUSDT,10,50.0,22.011698101105914,0,0,0
IOUSDT,11,54.54545454545454,33.00150244446858,0,0,0
DFUSDT,10,0.0,-27.063139724500374,0,0,0
HOTUSDT,10,60.0,25.55070222775354,0,0,0
COOKIEUSDT,7,42.857142857142854,21.763968091467046,0,0,0
LSKUSDT,8,62.5,14.577254862517911,0,0,0
PHAUSDT,8,50.0,15.052251765475793,0,0,0
MAVUSDT,7,28.57142857142857,2.793259780209116,0,0,0
