Symbol,Timeframe,Start Date,End Date,Stop_loss_multiplier,Take_profit_multiplier,Total Trades,Win Rate,Return [%],Long Trades,Short Trades,Long Return [%],Short Return [%],Long Win Rate [%],Short Win Rate [%]
BNBUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,12,50.0,6.630486376146785,4,8,-0.011615438164459868,0.08968116364423473,25.0,62.5
BTCUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,21,14.285714285714285,-6.536614128583087,5,16,-0.02501614850884204,-0.023494184927795092,0.0,18.75
ETHUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,15,20.0,-4.412645286710269,0,15,0.0,-0.04162132694533194,0.0,20.0
CAKEUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,15,40.0,9.215555866352934,1,14,-0.019811019935189855,0.13050279167448542,0.0,42.857142857142854
SCUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,18,27.77777777777778,-4.677673688880994,3,15,-0.02764150430321921,0.035313590592368826,0.0,33.33333333333333
PROMUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,14,21.428571428571427,-4.086139687479403,9,5,0.03300469134927897,-0.05837795285477143,33.33333333333333,0.0
SUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,14,28.57142857142857,1.9886716420765616,3,11,-0.04655198215020484,0.10875913055563857,0.0,36.36363636363637
TNSRUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,15,46.666666666666664,11.761988110594102,4,11,-0.001550139157848518,0.37491058045920067,25.0,54.54545454545454
VANAUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,15,40.0,26.046263163641793,5,10,-0.049334844322786675,0.25855320148310257,20.0,50.0
TSTUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,15,46.666666666666664,26.26861952468839,0,15,0.0,0.3433293051115205,0.0,46.666666666666664
1000CHEEMSUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,16,25.0,-0.9188635334888822,12,4,0.09427122126552956,-0.07813326292500178,33.33333333333333,0.0
CETUSUSDT,4h,2025-02-24 20:00:00+00:00,2025-03-26 16:00:00+00:00,0.45,1.25,18,33.33333333333333,6.864836512101791,5,13,-0.06671213666845555,0.2662312498482624,0.0,46.15384615384615
