Symbol,Timeframe,Start Date,End Date,Stop_loss_multiplier,Take_profit_multiplier,Total Trades,Win Rate,Return [%],Long Trades,Short Trades,Long Return [%],Short Return [%],Long Win Rate [%],Short Win Rate [%]
BTCUSDT,1h,2025-02-24 17:00:00+00:00,2025-03-26 17:00:00+00:00,0.45,1.25,64,37.5,2.2662367293603136,37,27,0.061701931571117585,0.027565007563924326,40.54054054054054,33.33333333333333
SUSDT,1h,2025-02-24 17:00:00+00:00,2025-03-26 17:00:00+00:00,0.45,1.25,89,29.213483146067414,2.0083598337616304,47,42,0.007702973262063817,0.0811369453641615,27.659574468085108,30.952380952380953
TNSRUSDT,1h,2025-02-24 17:00:00+00:00,2025-03-26 17:00:00+00:00,0.45,1.25,51,31.372549019607842,1.0351878877225449,12,39,-0.013177274068501221,0.0873332188355257,25.0,33.33333333333333
TSTUSDT,1h,2025-02-24 17:00:00+00:00,2025-03-26 17:00:00+00:00,0.45,1.25,56,32.142857142857146,7.9960536718708,22,34,0.057943944369028944,0.07000562057397308,31.818181818181817,32.35294117647059
CETUSUSDT,1h,2025-02-24 17:00:00+00:00,2025-03-26 17:00:00+00:00,0.45,1.25,75,30.666666666666664,0.23441719632658642,38,37,0.03791755683478337,0.09242279451036794,28.947368421052634,32.432432432432435
MEMEUSDT,1h,2025-02-24 17:00:00+00:00,2025-03-26 17:00:00+00:00,0.45,1.25,77,36.36363636363637,13.304897777513297,24,53,0.0025722089495406886,0.2876809392941768,25.0,41.509433962264154
ZECUSDT,1h,2025-02-24 17:00:00+00:00,2025-03-26 17:00:00+00:00,0.45,1.25,78,48.717948717948715,32.599326308108914,43,35,0.24437888705442512,0.1642891498265855,53.48837209302325,42.857142857142854
TURBOUSDT,1h,2025-02-24 17:00:00+00:00,2025-03-26 17:00:00+00:00,0.45,1.25,81,40.74074074074074,28.585574871519697,33,48,-0.000734505186915313,0.5204837430340226,24.242424242424242,52.083333333333336
BIOUSDT,1h,2025-02-24 17:00:00+00:00,2025-03-26 17:00:00+00:00,0.45,1.25,70,34.285714285714285,9.522230263268156,29,41,0.009647743566407851,0.20738089733993292,27.586206896551722,39.02439024390244
IOTXUSDT,1h,2025-02-24 17:00:00+00:00,2025-03-26 17:00:00+00:00,0.45,1.25,77,33.76623376623377,5.744703257152951,43,34,0.010138459807118139,0.18192741490861064,27.906976744186046,41.17647058823529
LISTAUSDT,1h,2025-02-24 17:00:00+00:00,2025-03-26 17:00:00+00:00,0.45,1.25,75,33.33333333333333,1.7544781244903336,31,44,0.004609220055617369,0.11485200649902638,29.03225806451613,36.36363636363637
ZRXUSDT,1h,2025-02-24 17:00:00+00:00,2025-03-26 17:00:00+00:00,0.45,1.25,71,36.61971830985916,4.751661103383138,31,40,-0.0022879681742846714,0.18628720852523395,25.806451612903224,45.0
LINAUSDT,1h,2025-02-24 17:00:00+00:00,2025-03-26 17:00:00+00:00,0.45,1.25,59,42.3728813559322,63.278267977556936,8,51,0.03669244226694657,0.7149157119445997,37.5,43.13725490196079
