symbol,trades,win_rate_pct,total_pnl_usd
ALPACAUSDT,19,15.79,11.88
LOKAUSDT,44,31.82,10.79
LISTAUSDT,59,22.03,9.24
BMTUSDT,1,100.0,9.05
THEUSDT,63,17.46,9.0
HIFIUSDT,51,21.57,8.47
SAGAUSDT,58,15.52,7.95
SSVUSDT,72,22.22,7.42
SEIUSDT,60,21.67,7.21
XVGUSDT,69,23.19,7.17
COMBOUSDT,9,44.44,7.1
FXSUSDT,70,21.43,6.83
ACXUSDT,57,22.81,6.75
TURBOUSDT,64,21.88,6.63
WLDUSDT,66,16.67,6.35
PEOPLEUSDT,62,19.35,6.33
JASMYUSDT,70,17.14,6.06
LINAUSDT,8,37.5,6.06
LAYERUSDT,49,22.45,6.05
ARBUSDT,60,21.67,5.86
BBUSDT,58,27.59,5.4
TRUMPUSDT,55,16.36,5.27
SYNUSDT,62,17.74,5.22
EPICUSDT,24,20.83,5.19
INJUSDT,81,17.28,5.06
GLMRUSDT,42,23.81,5.06
DOGEUSDT,85,18.82,4.98
NEOUSDT,81,17.28,4.97
PENGUUSDT,50,18.0,4.9
LEVERUSDT,31,25.81,4.83
EOSUSDT,27,18.52,4.79
QTUMUSDT,65,18.46,4.76
IMXUSDT,78,19.23,4.72
NEARUSDT,72,20.83,4.72
XLMUSDT,70,21.43,4.71
FETUSDT,82,13.41,4.67
ANIMEUSDT,57,21.05,4.43
DOGSUSDT,57,24.56,4.3
WIFUSDT,60,15.0,4.28
RONINUSDT,60,18.33,4.24
AIUSDT,67,19.4,4.21
PYTHUSDT,69,17.39,4.01
ORDIUSDT,51,23.53,3.84
ONGUSDT,61,18.03,3.84
AXSUSDT,70,17.14,3.78
BIOUSDT,43,27.91,3.71
NEIROUSDT,52,19.23,3.69
WOOUSDT,63,17.46,3.58
WUSDT,68,22.06,3.55
NOTUSDT,53,18.87,3.4
PHBUSDT,73,19.18,3.4
PERPUSDT,74,13.51,3.34
JUPUSDT,74,16.22,3.25
SANTOSUSDT,58,17.24,3.24
ALGOUSDT,79,17.72,3.14
ONEUSDT,78,15.38,3.11
BADGERUSDT,14,21.43,3.09
FIDAUSDT,74,20.27,2.97
1MBABYDOGEUSDT,61,19.67,2.92
RIFUSDT,83,16.87,2.92
1000SATSUSDT,61,14.75,2.92
VANRYUSDT,68,20.59,2.92
SUPERUSDT,75,14.67,2.92
BNTUSDT,84,14.29,2.86
